IdTrasbordo;IdPunto;IdLineaOrigen;IdLineaDestino;PenalizacionMin
275;191;6;15;5
276;191;10;15;5
277;191;12;15;5
278;195;10;6;5
279;195;15;6;5
280;195;6;10;5
281;195;15;10;5
282;195;6;15;5
283;195;10;15;5
284;208;15;6;5
285;208;18;6;5
286;208;20;6;5
287;208;6;15;5
288;208;18;15;5
289;208;20;15;5
290;208;6;18;5
291;208;15;18;5
292;208;20;18;5
293;208;6;20;5
294;208;15;20;5
295;208;18;20;5
296;220;16;6;5
297;220;6;16;5
298;222;11;7;5
299;222;7;11;5
300;223;11;7;5
301;223;7;11;5
302;228;17;7;5
303;228;19;7;5
304;228;7;17;5
305;228;19;17;5
306;228;7;19;5
307;228;17;19;5
308;230;17;7;5
309;230;19;7;5
310;230;7;17;5
311;230;19;17;5
312;230;7;19;5
313;230;17;19;5
314;234;17;7;5
315;234;19;7;5
316;234;7;17;5
317;234;19;17;5
318;234;7;19;5
319;234;17;19;5
320;237;10;7;5
321;237;17;7;5
322;237;19;7;5
323;237;7;10;5
324;237;17;10;5
325;237;19;10;5
326;237;7;17;5
327;237;10;17;5
328;237;19;17;5
329;237;7;19;5
330;237;10;19;5
331;237;17;19;5
332;241;17;7;5
333;241;19;7;5
334;241;7;17;5
335;241;19;17;5
336;241;7;19;5
337;241;17;19;5
338;245;17;7;5
339;245;19;7;5
340;245;7;17;5
341;245;19;17;5
342;245;7;19;5
343;245;17;19;5
344;251;17;7;5
345;251;19;7;5
346;251;7;17;5
347;251;19;17;5
348;251;7;19;5
349;251;17;19;5
350;254;17;7;5
351;254;19;7;5
352;254;7;17;5
353;254;19;17;5
354;254;7;19;5
355;254;17;19;5
356;256;13;7;5
357;256;16;7;5
358;256;7;13;5
359;256;16;13;5
360;256;7;16;5
361;256;13;16;5
362;258;11;7;5
363;258;13;7;5
364;258;16;7;5
365;258;7;11;5
366;258;13;11;5
367;258;16;11;5
368;258;7;13;5
369;258;11;13;5
370;258;16;13;5
371;258;7;16;5
372;258;11;16;5
373;258;13;16;5
374;260;12;8;5
375;260;14;8;5
376;260;15;8;5
377;260;8;12;5
378;260;14;12;5
379;260;15;12;5
380;260;8;14;5
381;260;12;14;5
382;260;15;14;5
383;260;8;15;5
384;260;12;15;5
385;260;14;15;5
386;267;18;8;5
387;267;20;8;5
388;267;8;18;5
389;267;20;18;5
390;267;8;20;5
391;267;18;20;5
392;271;18;8;5
393;271;20;8;5
394;271;8;18;5
395;271;20;18;5
396;271;8;20;5
397;271;18;20;5
398;276;18;8;5
399;276;20;8;5
400;276;8;18;5
401;276;20;18;5
402;276;8;20;5
403;276;18;20;5
404;285;18;8;5
405;285;20;8;5
406;285;8;18;5
407;285;20;18;5
408;285;8;20;5
409;285;18;20;5
410;288;18;8;5
411;288;20;8;5
412;288;8;18;5
413;288;20;18;5
414;288;8;20;5
415;288;18;20;5
416;295;12;8;5
417;295;8;12;5
418;298;12;8;5
419;298;14;8;5
420;298;8;12;5
421;298;14;12;5
422;298;8;14;5
423;298;12;14;5
424;300;12;8;5
425;300;14;8;5
426;300;8;12;5
427;300;14;12;5
428;300;8;14;5
429;300;12;14;5
430;306;17;9;5
431;306;19;9;5
432;306;9;17;5
433;306;19;17;5
434;306;9;19;5
435;306;17;19;5
436;312;11;9;5
437;312;9;11;5
438;317;10;9;5
439;317;9;10;5
440;320;10;9;5
441;320;9;10;5
442;330;18;10;5
443;330;20;10;5
444;330;10;18;5
445;330;20;18;5
446;330;10;20;5
447;330;18;20;5
448;337;17;10;5
449;337;19;10;5
450;337;10;17;5
451;337;19;17;5
452;337;10;19;5
453;337;17;19;5
454;356;16;13;5
455;356;13;16;5
456;359;16;13;5
457;359;13;16;5
458;364;16;13;5
459;364;13;16;5
460;371;16;13;5
461;371;18;13;5
462;371;20;13;5
463;371;13;16;5
464;371;18;16;5
465;371;20;16;5
