IdPunto;Latitud;Longitud;Descripcion;Stop
489;-17.788916;-63.171454;N-489;N
490;-17.789212;-63.171515;S-490;S
491;-17.78958;-63.17159;N-491;N
492;-17.789891;-63.171715;N-492;N
493;-17.790346;-63.172048;N-493;N
494;-17.790688;-63.172426;N-494;N
495;-17.791283;-63.172825;S-495;S
496;-17.791053;-63.173076;N-496;N
497;-17.790878;-63.172693;N-497;N
498;-17.790988;-63.17256;N-498;N
